slug,Year,age,minutes_played,made_field_goals,attempted_field_goals,attempted_three_point_field_goals,attempted_free_throws,defensive_rebounds,turnovers,player_efficiency_rating,total_rebound_percentage,value_over_replacement_player
beverpa01,2017,28,2058,228,543,288,95,298,100,13.0,10.4,1.6
biedran01,2005,18,384,45,78,1,40,71,12,14.8,16.7,0.0
biedran01,2006,19,1000,118,185,0,72,159,34,13.6,15.8,0.1
biedran01,2007,20,2382,348,581,0,167,511,119,16.2,17.5,1.0
biedran01,2008,21,2078,340,543,0,187,488,85,19.2,19.1,1.6
biedran01,2009,22,1863,308,533,1,216,470,110,19.1,20.2,1.5
biyombi01,2012,19,1455,129,278,0,143,255,71,10.6,14.5,-1.0
biyombi01,2013,20,2186,156,346,0,142,388,82,10.1,15.2,-1.3
biyombi01,2014,21,1072,88,144,0,89,261,40,13.3,19.3,0.2
biyombi01,2015,22,1243,101,186,0,175,248,52,15.2,18.0,0.3
biyombi01,2016,23,1808,156,288,1,226,473,71,14.9,20.8,0.8
blairde01,2010,20,1494,275,495,2,161,326,112,17.7,20.6,0.5
blairde01,2011,21,1734,292,583,2,137,350,113,17.1,18.9,0.7
blairde01,2012,22,1363,269,504,1,119,197,92,17.6,14.8,0.6
blairde01,2013,23,851,142,271,1,70,164,49,14.6,15.6,0.1
blairde01,2014,24,1214,210,393,2,121,229,77,17.3,17.5,0.3
blatcan01,2006,19,175,26,67,13,12,26,12,10.1,12.6,-0.1
blatcan01,2007,20,682,86,197,27,49,114,49,12.1,16.1,-0.3
blatcan01,2008,21,1675,254,536,13,154,261,112,15.5,14.9,0.1
blatcan01,2009,22,1703,297,630,21,162,252,117,15.0,13.0,0.0
blatcan01,2010,23,2256,478,999,44,234,351,182,17.6,13.0,1.5
bogdabo01,2018,25,2175,344,772,329,119,192,125,13.5,5.8,0.3
bogdabo01,2019,26,1947,361,863,372,162,203,117,14.1,6.4,0.7
bogdabo01,2020,27,1766,337,766,441,116,181,102,15.2,6.6,1.2
bogdabo01,2021,28,1305,267,565,333,44,140,54,17.6,6.7,1.8
bogdabo01,2022,29,1848,342,794,459,115,221,70,15.4,7.4,1.5
bolbo01,2020,20,87,14,28,9,10,14,10,14.4,12.2,0.0
bolbo01,2021,21,160,25,58,24,15,24,13,9.4,8.5,-0.1
bolbo01,2022,22,81,15,27,4,5,16,4,13.5,13.8,0.0
bolbo01,2023,23,1505,261,478,113,108,336,112,14.4,15.2,0.4
bolbo01,2024,24,469,93,151,52,19,105,19,18.7,16.5,0.5
